Country,League,Matchday,Hometeam,Awayteam,FTR,FTHG,FTAG,HTR,HTHG,HTAG
Germany,Bundesliga 1,14,Leverkusen,FC Koln,,,,,,
Germany,Bundesliga 1,14,Bayern Munich,Mainz,,,,,,
Germany,Bundesliga 1,15,Hamburg,Ein Frankfurt,,,,,,
Germany,Bundesliga 1,15,FC Koln,Union Berlin,,,,,,
Germany,Bundesliga 1,15,Heidenheim,Bayern Munich,,,,,,
Germany,Bundesliga 1,15,Augsburg,Werder Bremen,,,,,,
Germany,Bundesliga 1,15,Wolfsburg,Freiburg,,,,,,
Germany,Bundesliga 1,15,Stuttgart,Hoffenheim,,,,,,
Germany,Bundesliga 1,15,RB Leipzig,Leverkusen,,,,,,
Germany,Bundesliga 1,15,Mainz,St Pauli,,,,,,
Germany,Bundesliga 1,15,Dortmund,M'gladbach,,,,,,
Germany,Bundesliga 1,16,Heidenheim,FC Koln,,,,,,
Germany,Bundesliga 1,16,St Pauli,RB Leipzig,,,,,,
Germany,Bundesliga 1,16,Union Berlin,Mainz,,,,,,
Germany,Bundesliga 1,16,M'gladbach,Augsburg,,,,,,
Germany,Bundesliga 1,16,Werder Bremen,Hoffenheim,,,,,,
Germany,Bundesliga 1,16,Freiburg,Hamburg,,,,,,
Germany,Bundesliga 1,16,Ein Frankfurt,Dortmund,,,,,,
Germany,Bundesliga 1,16,Leverkusen,Stuttgart,,,,,,
Germany,Bundesliga 1,16,Bayern Munich,Wolfsburg,,,,,,
Germany,Bundesliga 1,17,Hamburg,Leverkusen,,,,,,
Germany,Bundesliga 1,17,FC Koln,Bayern Munich,,,,,,
Germany,Bundesliga 1,17,Hoffenheim,M'gladbach,,,,,,
Germany,Bundesliga 1,17,Augsburg,Union Berlin,,,,,,
Germany,Bundesliga 1,17,Wolfsburg,St Pauli,,,,,,
Germany,Bundesliga 1,17,Stuttgart,Ein Frankfurt,,,,,,
Germany,Bundesliga 1,17,RB Leipzig,Freiburg,,,,,,
Germany,Bundesliga 1,17,Mainz,Heidenheim,,,,,,
Germany,Bundesliga 1,17,Dortmund,Werder Bremen,,,,,,
Germany,Bundesliga 1,18,Hamburg,M'gladbach,,,,,,
Germany,Bundesliga 1,18,FC Koln,Mainz,,,,,,
Germany,Bundesliga 1,18,Hoffenheim,Leverkusen,,,,,,
Germany,Bundesliga 1,18,Augsburg,Freiburg,,,,,,
Germany,Bundesliga 1,18,Wolfsburg,Heidenheim,,,,,,
Germany,Bundesliga 1,18,Stuttgart,Union Berlin,,,,,,
Germany,Bundesliga 1,18,Werder Bremen,Ein Frankfurt,,,,,,
Germany,Bundesliga 1,18,RB Leipzig,Bayern Munich,,,,,,
Germany,Bundesliga 1,18,Dortmund,St Pauli,,,,,,
Germany,Bundesliga 1,19,Heidenheim,RB Leipzig,,,,,,
Germany,Bundesliga 1,19,St Pauli,Hamburg,,,,,,
Germany,Bundesliga 1,19,Union Berlin,Dortmund,,,,,,
Germany,Bundesliga 1,19,M'gladbach,Stuttgart,,,,,,
Germany,Bundesliga 1,19,Mainz,Wolfsburg,,,,,,
Germany,Bundesliga 1,19,Freiburg,FC Koln,,,,,,
Germany,Bundesliga 1,19,Ein Frankfurt,Hoffenheim,,,,,,
Germany,Bundesliga 1,19,Leverkusen,Werder Bremen,,,,,,
Germany,Bundesliga 1,19,Bayern Munich,Augsburg,,,,,,
Germany,Bundesliga 1,20,Hamburg,Bayern Munich,,,,,,
Germany,Bundesliga 1,20,FC Koln,Wolfsburg,,,,,,
Germany,Bundesliga 1,20,Hoffenheim,Union Berlin,,,,,,
Germany,Bundesliga 1,20,Augsburg,St Pauli,,,,,,
Germany,Bundesliga 1,20,Stuttgart,Freiburg,,,,,,
Germany,Bundesliga 1,20,Werder Bremen,M'gladbach,,,,,,
Germany,Bundesliga 1,20,RB Leipzig,Mainz,,,,,,
Germany,Bundesliga 1,20,Dortmund,Heidenheim,,,,,,
Germany,Bundesliga 1,20,Ein Frankfurt,Leverkusen,,,,,,
Germany,Bundesliga 1,21,FC Koln,RB Leipzig,,,,,,
Germany,Bundesliga 1,21,Heidenheim,Hamburg,,,,,,
Germany,Bundesliga 1,21,St Pauli,Stuttgart,,,,,,
Germany,Bundesliga 1,21,Union Berlin,Ein Frankfurt,,,,,,
Germany,Bundesliga 1,21,Wolfsburg,Dortmund,,,,,,
Germany,Bundesliga 1,21,M'gladbach,Leverkusen,,,,,,
Germany,Bundesliga 1,21,Mainz,Augsburg,,,,,,
Germany,Bundesliga 1,21,Freiburg,Werder Bremen,,,,,,
Germany,Bundesliga 1,21,Bayern Munich,Hoffenheim,,,,,,
Germany,Bundesliga 1,22,Hamburg,Union Berlin,,,,,,
Germany,Bundesliga 1,22,Hoffenheim,Freiburg,,,,,,
Germany,Bundesliga 1,22,Augsburg,Heidenheim,,,,,,
Germany,Bundesliga 1,22,Stuttgart,FC Koln,,,,,,
Germany,Bundesliga 1,22,Werder Bremen,Bayern Munich,,,,,,
Germany,Bundesliga 1,22,RB Leipzig,Wolfsburg,,,,,,
Germany,Bundesliga 1,22,Dortmund,Mainz,,,,,,
Germany,Bundesliga 1,22,Ein Frankfurt,M'gladbach,,,,,,
Germany,Bundesliga 1,22,Leverkusen,St Pauli,,,,,,
Germany,Bundesliga 1,23,FC Koln,Hoffenheim,,,,,,
Germany,Bundesliga 1,23,Heidenheim,Stuttgart,,,,,,
Germany,Bundesliga 1,23,St Pauli,Werder Bremen,,,,,,
Germany,Bundesliga 1,23,Union Berlin,Leverkusen,,,,,,
Germany,Bundesliga 1,23,Wolfsburg,Augsburg,,,,,,
Germany,Bundesliga 1,23,RB Leipzig,Dortmund,,,,,,
Germany,Bundesliga 1,23,Mainz,Hamburg,,,,,,
Germany,Bundesliga 1,23,Freiburg,M'gladbach,,,,,,
Germany,Bundesliga 1,23,Bayern Munich,Ein Frankfurt,,,,,,
Germany,Bundesliga 1,24,Hamburg,RB Leipzig,,,,,,
Germany,Bundesliga 1,24,Hoffenheim,St Pauli,,,,,,
Germany,Bundesliga 1,24,Augsburg,FC Koln,,,,,,
Germany,Bundesliga 1,24,M'gladbach,Union Berlin,,,,,,
Germany,Bundesliga 1,24,Stuttgart,Wolfsburg,,,,,,
Germany,Bundesliga 1,24,Werder Bremen,Heidenheim,,,,,,
Germany,Bundesliga 1,24,Dortmund,Bayern Munich,,,,,,
Germany,Bundesliga 1,24,Ein Frankfurt,Freiburg,,,,,,
Germany,Bundesliga 1,24,Leverkusen,Mainz,,,,,,
Germany,Bundesliga 1,25,FC Koln,Dortmund,,,,,,
Germany,Bundesliga 1,25,Heidenheim,Hoffenheim,,,,,,
Germany,Bundesliga 1,25,St Pauli,Ein Frankfurt,,,,,,
Germany,Bundesliga 1,25,Union Berlin,Werder Bremen,,,,,,
